Région,Code région,Code département,code_commune,nom_commune,zone_montagne,est_zone_vulnerable,est_zar,zone_ouest,zone_sud,zone_est,Dernière mise à jour,Dernière mise à jour par
BOURGOGNE FRANCHE COMTE,27,25,25570,TRESSANDANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25571,TREVILLERS,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25572,TROUVANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25573,URTIERE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25574,UZELLE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25575,VAIRE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25578,VALDAHON,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25579,VAL DE ROULANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25580,VALENTIGNEY,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25582,VALLEROY,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25583,VALONNE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25584,VALOREILLE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25586,VANDONCOURT,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25588,VAUCLUSE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25589,VAUCLUSOTTE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25590,VAUDRIVILLERS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25591,VAUFREY,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25592,VAUX ET CHANTEGRUE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25594,VELESMES ESSARTS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25595,VELLEROT LES BELVOIR,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25596,VELLEROT LES VERCEL,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25597,VELLEVANS,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25598,VENISE,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25599,VENNANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25600,VENNES,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25601,VERCEL VILLEDIEU LE CAMP,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25602,VERGRANNE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25604,VERNE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25605,VERNIERFONTAINE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25607,VERNOIS LES BELVOIR,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25608,VERNOY,NC,PC,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25609,VERRIERES DE JOUX,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25611,VEZE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25612,VIEILLEY,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25613,VIETHOREY,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25614,VIEUX CHARMONT,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25615,VILLARS LES BLAMONT,C,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25616,VILLARS SAINT GEORGES,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25617,VILLARS SOUS DAMPJOUX,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25618,VILLARS SOUS ECOT,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25619,VILLEDIEU,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25620,VILLE DU PONT,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25621,VILLENEUVE D AMONT,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25622,VILLERS BUZON,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25623,VILLERS CHIEF,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25624,VILLERS GRELOT,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25625,VILLERS LA COMBE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
